symbol,strategy,entry_time,exit_time,actual_entry_close,slippage_entry_price,actual_exit_close,slippage_exit_price,qty,side,pnl,equity
cash_ACC,MovingAverage,2024-08-01 09:24:00,2024-08-01 09:26:00,2554.75,2556.0273749999997,2558.75,2557.470625,50,LONG,72.1625000000131,72.1625000000131
cash_ACC,MovingAverage,2024-08-01 09:35:00,2024-08-01 09:38:00,2553.7,2554.9768499999996,2557.7,2556.42115,50,LONG,72.21500000002834,144.37750000004144
cash_PFIZER,MovingAverage,2024-08-01 09:39:00,2024-08-01 09:41:00,5585.0,5587.7925,5585.8,5583.007100000001,50,LONG,-239.26999999994223,-94.89249999990079
cash_ACC,MovingAverage,2024-08-01 09:41:00,2024-08-01 09:50:00,2551.65,2552.925825,2551.3,2550.02435,50,LONG,-145.0737499999832,-239.96624999988398
cash_PFIZER,MovingAverage,2024-08-01 09:47:00,2024-08-01 09:53:00,5600.0,5602.799999999999,5610.85,5608.044575000001,50,LONG,262.2287500000766,22.26250000019263
cash_ACC,MovingAverage,2024-08-01 09:53:00,2024-08-01 09:55:00,2555.0,2556.2774999999997,2552.25,2550.973875,50,LONG,-265.1812499999778,-242.91874999978518
cash_PFIZER,MovingAverage,2024-08-01 10:11:00,2024-08-01 10:17:00,5609.2,5612.004599999999,5616.3,5613.49185,50,LONG,74.36250000005202,-168.55624999973315
cash_ACC,MovingAverage,2024-08-01 10:23:00,2024-08-01 10:26:00,2541.7,2542.9708499999997,2538.75,2537.480625,50,LONG,-274.51124999997774,-443.0674999997109
cash_PFIZER,MovingAverage,2024-08-01 10:27:00,2024-08-01 10:29:00,5600.25,5603.050125,5600.0,5597.200000000001,50,LONG,-292.50624999995125,-735.5737499996621
cash_ACC,MovingAverage,2024-08-01 10:35:00,2024-08-01 10:38:00,2537.2,2538.4685999999997,2536.1,2534.8319500000002,50,LONG,-181.83249999997315,-917.4062499996353
cash_PFIZER,MovingAverage,2024-08-01 10:31:00,2024-08-01 10:41:00,5600.0,5602.799999999999,5600.0,5597.200000000001,50,LONG,-279.99999999992724,-1197.4062499995625
cash_ACC,MovingAverage,2024-08-01 10:41:00,2024-08-01 10:43:00,2533.9,2535.16695,2533.25,2531.9833750000003,50,LONG,-159.1787499999782,-1356.5849999995407
cash_PFIZER,MovingAverage,2024-08-01 10:59:00,2024-08-01 11:05:00,5610.0,5612.804999999999,5605.0,5602.1975,50,LONG,-530.3749999999582,-1886.959999999499
cash_ACC,MovingAverage,2024-08-01 11:11:00,2024-08-01 11:14:00,2522.9,2524.16145,2520.45,2519.189775,50,LONG,-248.5837500000116,-2135.5437499995105
cash_PFIZER,MovingAverage,2024-08-01 11:15:00,2024-08-01 11:17:00,5600.35,5603.150175,5600.0,5597.200000000001,50,LONG,-297.50874999995176,-2433.0524999994623
cash_ACC,MovingAverage,2024-08-01 11:17:00,2024-08-01 11:26:00,2517.95,2519.2089749999996,2520.8,2519.5396000000005,50,LONG,16.531250000048203,-2416.521249999414
cash_PFIZER,MovingAverage,2024-08-01 11:23:00,2024-08-01 11:26:00,5601.1,5603.90055,5600.0,5597.200000000001,50,LONG,-335.0274999999783,-2751.5487499993924
cash_AMBUJACEM,MovingAverage,2024-08-01 11:26:00,2024-08-01 11:31:00,664.1,664.43205,664.9,664.56755,50,LONG,6.774999999998954,-2744.7737499993937
cash_ACC,MovingAverage,2024-08-01 11:49:00,2024-08-01 11:51:00,2521.9,2523.16095,2519.95,2518.690025,50,LONG,-223.54625000000397,-2968.3199999993976
cash_AMBUJACEM,MovingAverage,2024-08-01 11:55:00,2024-08-01 11:57:00,664.25,664.582125,663.15,662.818425,50,LONG,-88.18499999999858,-3056.504999999396
cash_ACC,MovingAverage,2024-08-01 12:04:00,2024-08-01 12:05:00,2514.5,2515.7572499999997,2514.05,2512.7929750000003,50,LONG,-148.21374999996806,-3204.7187499993643
cash_AMBUJACEM,MovingAverage,2024-08-01 12:37:00,2024-08-01 12:39:00,658.5,658.82925,656.55,656.221725,50,LONG,-130.37625000000048,-3335.0949999993645
cash_ACC,MovingAverage,2024-08-01 12:33:00,2024-08-01 12:41:00,2493.35,2494.596675,2499.35,2498.100325,50,LONG,175.18250000000535,-3159.912499999359
cash_ACC,MovingAverage,2024-08-01 12:45:00,2024-08-01 12:46:00,2501.1,2502.3505499999997,2500.05,2498.7999750000004,50,LONG,-177.52874999996493,-3337.441249999324
cash_ACC,MovingAverage,2024-08-01 12:55:00,2024-08-01 12:57:00,2502.85,2504.101425,2502.5,2501.24875,50,LONG,-142.63374999998177,-3480.074999999306
cash_ACC,MovingAverage,2024-08-01 13:07:00,2024-08-01 13:16:00,2507.4,2508.6537,2514.9,2513.64255,50,LONG,249.4425000000092,-3230.6324999992967
cash_ACC,MovingAverage,2024-08-01 13:23:00,2024-08-01 13:28:00,2515.65,2516.907825,2514.8,2513.5426,50,LONG,-168.26124999997774,-3398.8937499992744
cash_PFIZER,MovingAverage,2024-08-01 13:29:00,2024-08-01 13:31:00,5614.9,5617.707449999999,5615.25,5612.4423750000005,50,LONG,-263.25374999992164,-3662.147499999196
cash_AMBUJACEM,MovingAverage,2024-08-01 13:31:00,2024-08-01 13:32:00,660.15,660.4800749999999,660.0,659.6700000000001,50,LONG,-40.50374999999349,-3702.6512499991895
cash_PFIZER,MovingAverage,2024-08-01 13:42:00,2024-08-01 13:43:00,5604.95,5607.752474999999,5604.95,5602.147525,50,LONG,-280.2474999999504,-3982.89874999914
cash_ACC,MovingAverage,2024-08-01 13:50:00,2024-08-01 13:53:00,2504.0,2505.252,2499.05,2497.8004750000005,50,LONG,-372.5762499999746,-4355.4749999991145
cash_PFIZER,MovingAverage,2024-08-01 13:46:00,2024-08-01 13:56:00,5600.0,5602.799999999999,5601.0,5598.199500000001,50,LONG,-230.02499999993233,-4585.499999999047
cash_ACC,MovingAverage,2024-08-01 13:56:00,2024-08-01 13:58:00,2499.0,2500.2495,2499.9,2498.65005,50,LONG,-79.9724999999853,-4665.472499999032
cash_PFIZER,MovingAverage,2024-08-01 14:14:00,2024-08-01 14:20:00,5601.05,5603.850525,5605.0,5602.1975,50,LONG,-82.65124999998079,-4748.123749999013
cash_ACC,MovingAverage,2024-08-01 14:26:00,2024-08-01 14:29:00,2492.0,2493.2459999999996,2489.6,2488.3552,50,LONG,-244.5399999999836,-4992.6637499989965
cash_PFIZER,MovingAverage,2024-08-01 14:30:00,2024-08-01 14:32:00,5600.0,5602.799999999999,5605.0,5602.1975,50,LONG,-30.124999999952706,-5022.788749998949
cash_ACC,MovingAverage,2024-08-01 14:38:00,2024-08-01 14:41:00,2488.05,2489.294025,2490.0,2488.755,50,LONG,-26.95125000000189,-5049.739999998951
cash_PFIZER,MovingAverage,2024-08-01 14:34:00,2024-08-01 14:44:00,5605.0,5607.8025,5600.0,5597.200000000001,50,LONG,-530.1249999999527,-5579.864999998904
cash_ACC,MovingAverage,2024-08-01 14:44:00,2024-08-01 14:46:00,2492.5,2493.7462499999997,2490.9,2489.65455,50,LONG,-204.58499999997457,-5784.449999998878
cash_PFIZER,MovingAverage,2024-08-01 15:02:00,2024-08-01 15:08:00,5606.75,5609.5533749999995,5609.65,5606.845175,50,LONG,-135.4099999999562,-5919.859999998835
cash_ACC,MovingAverage,2024-08-01 15:08:00,2024-08-01 15:10:00,2489.0,2490.2445,2491.0,2489.7545,50,LONG,-24.499999999989086,-5944.359999998824
cash_ACC,MovingAverage,2024-08-01 15:26:00,2024-08-01 15:29:00,2483.7,2484.9418499999997,2485.0,2483.7575,50,LONG,-59.21749999997701,-6003.577499998801
cash_PFIZER,MovingAverage,2024-08-01 15:22:00,2024-08-02 09:17:00,5636.0,5638.817999999999,5554.0,5551.223,50,LONG,-4379.749999999967,-10383.327499998768
